Lillie Rice Center Inc. ,Provides employment and support services to individuals with developmental disabilities while enhancing their quality of life,509-525-5433,Christine Daudt,,2616 East Isaacs Avenue Walla Walla WA 99362,http://www.lilliericecenter.org/, ,
Oregon CAPECO,"Provides work experience, work readiness, remedial education, tutoring, summer employment, alternative education, and much more",(541) 276-1926,Janet Merrell,,"721 SE 3rd St, Suite D
Pendleton, OR 97801",CAPECO - Home (capeco-works.org), ,
Oregon Vocational Rehabilitation,"Assists individuals with disabilities to get and keep a job that matches their skills, interests, and abilities.",800-442-4352,N/A,,309 N Columbia Milton-Freewater OR 97862,https://www.oregon.gov/dhs/Pages/index.aspx,  ,
The STAR Project,Assists individuals with felony convictions in Walla Walla and Columbia counties,509-525-3612,Becky Turner,,321 Wellington Ave Walla Walla WA 99362 ,https://www.thestarproject.us/, ,
Walla Walla Division of Vocational Rehabilitation,Provides opportunities for individuals with disabilities to participate fully in their communities and become employed ,509-527-1815,N/A,,1530 Stevens St Walla Walla WA 99362,https://www.dshs.wa.gov/location/dshs-dvr-wallawalla, ,
Walla Walla Division of Developmental Disabilities Administration,"Implements public policythat will promote individual worht, self-respect, and dignity ",509-394-1069,N/A,,1371 W Pine St Walla Walla WA 99362,Walla Walla DDA Field Office | DSHS, ,
Milton-Freewater Worksource,Provides an array of employment and training services to job seekrs and employers in Washington,541-938-3373,N/A,,"84105 OR-11 Milton-Freewater OR, 97862",WorkSource Oregon, ,
Pendleton Worksource,Provides an array of employment and training services to job seekrs and employers in Washington,541-2769050,N/A,,"408 SE 7th St Pendleton OR, 97801",WorkSource Oregon, ,
Walla Walla Worksource,Provides an array of employment and training services to job seekrs and employers in Washington,509-527-4393,Caite York,,1530 Stevens St Walla Walla WA 99362,WorkSourceWA, ,
,,,,,,,,
,,,,,,,,
,,,,,,,,
 , , ,Community Services - AGING AND DISABILITY,, , , ,
,,,,,,,,
NAME,DETAILS:,NUMBER:,VOLUNTEER LEAD/DIRECTOR,,ADDRESS:,WEBSITE:,FUNCTION:,
Senior Center at the Park,"The Walla Walla Senior Center at the Park affords those who are 50 years of age and older unique opportunities to create a very special community of their own without isolating themselves from the rest of the community. It is a place where older community residents can go to get away from the loneliness of their homes and apartments, to avail themselves of vital services and participate in a wide range of vocational and recreational activities in a friendly, noncompetitive atmosphere.",(509) 527-3775,Tania Seib,,720 Sprague Walla Walla WA 99362,https://www.wallawallaseniorcenter.org/, ,
"Catholic Charities, Volunteer Services ","Providing services for elderly who are in need of support doing daily tasks such as laundry, dishes, etc.",509-946-4645,Tom Caroll,, ,https://www.cceasternwa.org/walla-walla, ,
Meals-on-Wheels,"Meals-on-Wheels is available to anyone 60 or older and spouses. Donations are accepted (suggested $4) but not required. Individuals under 60 years of age pay full price of $7 per meal. Meals-on-wheels are delivered hot or frozen. There are no income criteria or membership fees. Hot congregate meals are available in a warm setting at the Senior Center. Food stamps (EBT Quest Card) are gladly accepted. Therapeutic diets may be available. Currently, is running throuhg the Senior Center round table. Sandra is best contact to answer questions.",(509) 527-3775,Sandra Moore,,720 Sprague Walla Walla WA 99362,Walla Walla Senior Center / The Center at the Park, ,
Senior Companion Program,"The goal of the Eastern Oregon Senior Companion Program is to provide part-time volunteer opportunities to low-income older persons who serve others needing special assistance. We primarily serve seniors who are lonely and isolated; those recently released from a hospital or nursing home; those with long-term illnesses; and those who have drug or alcohol problems. All Senior Companion volunteers serve others through a volunteer station (site) which is usually an agency that provides services to seniors. The volunteer station, in turn, assigns volunteers to individuals needing help in their homes. A client care plan is developed and signed by all individuals aided by the SCP.","(541) 276-6074, Central Washington and Walla Walla: 509-946-4645",Tom Caroll (Walla Walla),,"PO Box 1602; 213 SW Emigrant Ave, Pendleton, OR 97801",https://www.cceasternwa.org/walla-walla, ,
Dayton Senior Center,"New LifeStyles at the Dayton Senior Center will be ""The Source for Seniors"", providing comprehensive, quality information on senior residences and care options. This information will be available, free to all that need it. We will lead the market by maximizing quality and advertising exposure for our partners.",(509) 382-2006,Jan Strohbehn,,403 E Patit Dayton WA 99328,http://www.columbiaco.com/493/Senior-Citizen-Opportunities,Aging,
U.S. Social Security Office,To provide for the material needs of individuals and families; To protect aged and disabled persons against the expenses of illnesses that may otherwise use up their savings; To keep families together; and thriving in a safe and healthy environment. ,(800) 772-1213,N/A,,880 NE Rose Street College Place WA 99324,https://www.ssa.gov/, ,
Walla Walla Community Hospice,The mission of Walla Walla Community Hospice is to provide compassionate care to patients in the final stages of life and support for their loved ones and caregivers.,509-525-5561,Topher McClellan,,"1067 East Isaacs Avenue, Walla Walla, WA 99362, United States",Walla Walla Community Hospice | Patient and Family Care (wwhospice.org), ,
ALTC Aging and Disability Resources of WA,"We are a public service agency. Our Information, Assistance and Case Management services are FREE to the public. ALTC believes that everyone using the long term care service delivery system should expect a high caliber of service honoring your choices and supporting your dignity and independence.",509-529-6470,N/A,,"125 East Cherry Street, Walla Walla, WA, United States",SE Washington Aging and Long Term Care (altcwashington.com), ,
Milton-Freewater Senior Center,A non-profit organization that provides a meeting place for area senior citizens and low-income minority groups. Lunches are offered by CAPECO on Tuesdays and Fridays each week. Bingo is played on Tuesday afternoon and Pinochle is played on Friday evening. Hall rental available.,541-938-8242,Linda Hall,,"11 N Main St, Milton-Freewater, OR 97862",N/A, ,
Tech4 Gramma,"Tech4 Gramma provides in-home tech support specifically for older learners. Tech4 Gramma will come to you and get your gadget up and running. We can help customize your apps and notifications so they are a help, not a hindrance. These respectful discussions and solutions empower users to reach the goal to communicate successfully in the digital world.",509-386-1881,N/A,, ,Tech4Gramma, ,
Milton-Freewater Senior/Disabled Taxi Tickets,"Milton-Freewater Senior/Disabled Taxi Ticket Service is a Senior & Disabled service for seniors age 60 and older, and disabled citizens of any age. Unlimited number of tickets may be purchased at City Hall, 722 S. Main Street in Milton-Freewater between the hours of 7 am and 4 pm, Monday through Friday.",541-938-8242,Linda Hall,,722 South Main Milton-Freewater OR 97862,Home Page | City of Milton-Freewater Oregon (mfcity.com), ,
Valley Residential Services,"Valley Residential Services (VRS) is a community based non-profit organization offering supported living, transitional housing and family support opportunities in Walla Walla and Columbia Counties in Washington since 1982. With more than 200 employees (the vast majority of which are full-time), VRS is the 23rd largest employer in Walla Walla County. Most of our employees work directly with clients. Our programs include:",(509) 522-0400,Nancy Riggle,,240 Bush Street Walla Walla WA 99362,"Valley Residential Services – Valley Residential Services – Serving Walla Walla, WA", ,
Arc of Umatilla County,"The Arc Umatilla County advocates for the rights and full participation of all children and adults with intellectual and developmental disabilities.  Together with our network of members, we improve systems of supports and services; connect families; inspire communities and influence public policy.",(541) 567-7615,Michelle Kietzke,,215 W. Orchard Ave. Hermiston OR 97838,https://thearcumatilla.org/, ,
Walla Walla Valley Disability Network,The mission of the Walla Walla Valley Disability Network is to improve the quality of life for persons with disabilities and their families through community access and support.,(509) 386-2356,Cyndy Knight,,N/A,Walla Walla Valley Disability Network : Home (wwvdn.org), ,
Learning Disabilities Association of Washington,"Learning Disabilities Association of Washington (LDA WA) promotes and provides service and support to improve the quality of life for individuals and families affected by learning and attentional disabilities. We envision a world in which all individuals with learning disabilities are empowered to thrive and participate fully in society, the incidence of learning disabilities is reduced; and learning disabilities are universally understood and effectively addressed. We respect and honor the diversity of our community and are committed to weaving that diversity into our programs, actions, and results.",(425) 882-0820,Nancy Sobich,,"16315 NE 87th Street Suite B-10 Redmond, WA 98052",http://www.ldawa.org/, ,
Oregon Educational Services District Early Intervention/Special Education,"The Oregon Department of Education contracts with local agencies to provide a statewide system of free services for young children with developmental delays and disabilities and their families, including: Early Intervention (EI)--Individually designed services for children birth to three and support for parents to enhance children's physical, cognitive, communication, social emotional and/or adaptive development; and Early Childhood Special Education (ECSE)--Specially designed instruction for children ages 3 to the age of public school eligibility in the areas of communication, cognitive, social/emotional, adaptive and others.",(503) 947-5600,N/A,,"255 Capitol Street NE Salem, OR 97310-0203",https://www.oregon.gov/ode/Pages/search-results.aspx?q=Directory, ,
Oregon Special Olympics,"Oregon Special Olympics is a global movement of people creating a new world of inclusion and community, where every single person is accepted and welcomed, regardless of ability or disability. We are helping to make the world a better, healthier and more joyful place -- one athlete, one volunteer, one family member at a time.",(503) 248-0600,Britt Oase,,"5901 SW Macadam Avenue, Suite 200, Portland, OR 97239",Oregon Department of Education : Search Results : State of Oregon,Disability ,
Eastern Oregon Center for Independent Living,The Eastern Oregon Center for Independent Living works to empower individuals with disabilities and seniors to improve the quality of their lives.,(541) 276-1037,Kirt Toombs,,322 SW 3rd Street Pendleton OR 97801,Eastern Oregon Center for Independent Living (eocil.org), ,
Umatilla County Youth Investment Program,"The Umatilla County Youth Investment Program (YIP) is money that has been set aside for agencies, school districts or individual families to purchase service for YIP youth. The goal is to reduce the dropout rate, homelessness, and youth's potential for involvement with Office of Services to Children & Families and Juvenile County. This fund is available to provide services to all YIP youth residing in Umatilla county. The intent of the YIP program dollars is to enhance existing county services by creating an individual treatment approach for each YIP youth. The YIP Program will allow both schools and social service agencies to access needed services previously unavailable because of financial limitation.",(541) 278-6291,Suzie Stuvland,,216 SE 4th Pendleton OR 97801,N/A, ,
Community Action Program of East Central Oregon Lifespan Respite Program,"The Community Action Program of East Central Oregon (CAPECO) envisions the success of every youth, adult and senior to eliminate poverty and promote independence through education, employment, and the sharing of resources that move individuals from surviving to thriving.",(541) 276-1926,Janet Merrell,,721 SE 3rd Ste. D Pendleton OR 97801,Front Page | CAPO - Community Action Partnership of Oregon (caporegon.org), ,
Oregon Department of Human Services - Milton-Freewater,"The Oregon Department of Human Services (DHS) is Oregonâ€™s principal agency for helping Oregonians achieve wellbeing and independence through opportunities that protect, empower, respect choice and preserve dignity, especially for those who are least able to help themselves. DHS provides direct services to more than 1 million Oregonians each year. These services provide a key safety net for those in our society who are most vulnerable or who are at a difficult place in their life.",(541) 938-6627,N/A,,309 N Columbia Street Milton-Freewater OR 97862,State of Oregon: Oregon Department of Human Services - ODHS Home, ,
Washington Department of Social and Human Services _ Developmental Disabilities Administration,The Washington Department of Social and Human Services is tied together by a single mission: to transform lives. Each administration within DSHS has a refined focus on this mission.,(877) 501-2233,N/A,,"1371 Pine St. Walla Walla, WA 99362",Walla Walla DDA Field Office | DSHS, ,
Aging and Long-Term Care,"Aging and Long-Term Care is a public service agency. Our Information, Assistance and Case Management services are FREE to the public. ALTC believes that everyone using the long term care service delivery system should expect a high caliber of service honoring your choices and supporting your dignity and independence.",(509) 529-6470,N/A,,"125 East Cherry Street, Walla Walla, WA 99362, United States",SE Washington Aging and Long Term Care (altcwashington.com), ,
"Horizon Project, Inc.","Horizon Project Inc. is a diversified organization. We provide vocational and residential services to adults with developmental disabilities. We also support such folks with an alternative work environment. For many years we have provided the community with drop-off and curbside recycling services. Recently we have expanded into the areas of low income housing, employment services and youth services.",(541) 938-5658,Terri H. Silvis,,608 Russell Street Milton-Freewater OR 97862,https://horizonprojectinc.org/, ,
Oregon Aging and Disability Resource Connect,"When you are looking for information about services to address aging or disability needs, the Aging and Disability Resource Connection (ADRC) of Oregon can help you learn about local public and privately paid options. The ADRC has trained professional staff who can help you and your family with immediate needs, or help you plan for the future",(855) 673-2372,N/A,,N/A,https://adrcoforegon.org/consite/index.php, ,
,,,,,,,,
,,,,,,,,
 , , ,Community Services - PARENTING,, , , ,
,,,,,,,,
NAME,DETAILS:,NUMBER:,VOLUNTEER LEAD/DIRECTOR,,ADDRESS:,WEBSITE:,FUNCTION:,
My Friend's House Preschool - YWCA,"My Friendsâ€™ House is a high-quality childcare center for ages 1-6, pre-kindergarten.",(509) 525-7034,Anne-Marie Zell Schwerin,,121 E Birch St Walla Walla WA 99362,YWCA Walla Walla | YWCA Walla Walla (ywcaww.org), ,
Oregon Child Care Aware,Oregon Child Care Resource and Referral aids parents in finding quality child care.,(541) 564-6878,N/A,,110 NE 4th Street,Home - Child Care Aware® of America, ,
Oregon Child Development Coalition,"Oregon Child Development Coalition (OCDC) is dedicated to improving the lives of children and families by providing early childhood education, care and advocacy with unique and supportive services to enhance family growth and community success.",(541) 938-3170,Donalda Dodson,,1500 Valley River Drive Suite 100 Eugene OR 97401,https://www.ocdc.net/, ,
Child Care Aware,Child Care Aware of Eastern Washington provides child care support for both families and child care providers.,509-315-8669,Michel Nelson,,"3307  E 55th Ave Ste B, Spokane, WA 99223",Home - Child Care Aware WA, ,
Adventure Club - YWCA,YWCA Adventure Clubs are licensed all-day and afterschool child care programs that emphasize children,(509) 525-2570,Anne-Marie Zell Schwerin,,213 S First Ave Walla Walla WA 99362,YWCA Walla Walla | YWCA Walla Walla (ywcaww.org), ,
Early Learning Center,"The Early Learning Center leads early learning efforts, supports parenting and caregiving, improves early learning opportunities, and promotes Walla Walla as a family-friendly community.",(509) 527-4453,Eiledon McClellan,,500 Tausick Way Walla Walla WA 99362,https://earlylearningwallawalla.org/,Child Care | Birth to 5yrs,
Washington Child Care Resource and Referral,"Washington Child Care Resources improves all childrenâ€™s access to high quality early learning experiences by engaging with families, child care providers, and communities. CCR was founded in 1990 to ensure that every family had access to quality and affordable child care that met their unique needs. Today, CCR serves families across Washington state and works with child care providers in King and Pierce Counties to improve the quality of child care for all children.",(206) 329-1011,N/A,,1225 South Weller Suite 300 Seattle WA 98144,https://www.dshs.wa.gov/, ,
Oregon Student Child Care Grant,"The Oregon Student Child Care Grant Program was established to assist parents enrolled in postsecondary education obtain safe, dependable care that supports their children's development while allowing completion of the parent's academic programs.",(541) 687-7443,N/A,,Hermiston OR 97838,https://oregonstudentaid.gov/child-care-grant.aspx, ,
Adventure Club - YWCA,YWCA Adventure Clubs are licensed all-day and afterschool child care programs that emphasize children,(509) 525-2570,Anne-Marie Zell Schwerin,,213 S First Ave Walla Walla WA 99362,YWCA Walla Walla | YWCA Walla Walla (ywcaww.org), ,
Walla Walla YMCA - Y's Little Owls Afternoon Childcare,"We provide afternoon childcare enjoying outside play, crafts, free play and sensory activites. ",509-525-8863,Karen Hedine,,340 S Park St Walla Walla WA 99362,https://www.wwymca.org/, ,
"Walla Walla YMCA, Kids Korner",We provide a drop off childcare service for children aged 6wks-6yrs to our YMCA Members. Enjoy 2hrs of childcare while you enjoy a workout! ,509-525-8863,Karen Hedine,,340 S Park St Walla Walla WA 99362,https://www.wwymca.org/, ,
Walla Walla YMCA - Y's Little Owls Morning Preschool,"We offer a morning Preschool to children aged 3-5yrs. We teach basic skills such as manners, taking turns, socializing, working as a team, and putting our Y core values into practice. We enourage children to use thier immagination and be creative. As your child approches the Pre K year we will work on numerous skills to prepare them for kindergarten, helping to build self-esteem and confidence. ",509-525-8863,Karen Hedine,,340 S Park St Walla Walla WA 99362,https://www.wwymca.org/, ,
Washington Division of Children and Family Services,"As a Department, the Washington Division of Children and Family Services is tied together by a single mission: to transform lives. Each administration within DSHS has a refined focus on this mission.",(877) 501-2233,Ross Hunter,,"1371 Pine St. Walla Walla, WA. 99362",https://www.dcyf.wa.gov/services, ,
Oregon Head Start,"Umatilla Partners in Care is a group of agency people, school employees, parents and interested community members.  This group is working toward more effective and seamless services for children and adolescents in Umatilla County with complex behavioral needs. Head Start operates many programs aimed at helping children and families.",(541) 938-0255,Ruby Miller,,403 Peabody St. Milton-Freewater OR. 97862,https://www.ohsa.net/, ,
Good Samaritan Ministries,"Good Samaritan Ministries are where people from all walks of life and every need could come and find love, acceptance and an encounter with the Kingdom of God.",(509) 529-2322,Cathy Scott,,1815 Portland Ave. Ste. 2 Walla Walla WA. 99362,About | Good Samaritan Ministries (gsmwallawalla.com), ,
Children's Home Society of Washington,"Children's Home Society of Washington's mission today is to develop healthy children, create strong families, build engaged communities, and speak and advocate for children.",(509) 529-2130,N/A,,"1612 Penny Ln, Walla Walla, WA 99362, United States",https://www.childrenshomesociety.org/wallawalla/, ,
Catholic Charities,"Catholic Charities affirms the dignity of every person, partnering with parishes and the greater community to serve and advocate for those who are vulnerable, bringing stability and hope to people throughout eastern Washington. ",(509) 525-0572,Lisa Green,,"408 W. Poplar St. Walla Walla, WA. 99362",https://www.cceasternwa.org/walla-walla, ,
WWCC Parent Education Programs,"WWCC Parenting Education Programs provide parenting education classes for families with children birth to five years olf, including parent-child interaction.",509-527-4237,Viridiana Cloin,,500 Tausick Way Walla Walla WA. 99362,Parenting Education | Parent Child Center | WWCC, ,
Walla Walla Valley Early Learning Coalition,The Walla Walla Valley Early Learning Coalition's mission is to mobilize the community to support parents as their childrenâ€™s first teacher and improve access to high-quality early learning opportunities for all young children in the Walla Walla Valley., 509-526-1777,Eiledon McClellan,,500 Tausick Way Walla Walla WA. 99362,https://earlylearningwallawalla.org/, ,
Blue Mountain Counseling,"Blue Mountain Counseling is committed to providing treatment of the highest quality. Blue Mountain Counseling offers counseling services for Individuals, Families, and Children. We have staff that are highly trained with advanced degrees and specialized training",(509) 382-1164,Dimita Warren,,"221 E. Washington Ave. Dayton, WA. 99328","Blue Mountain Counseling – Blue Mountain Counseling, Dayton, WA (bluemtncounseling.org)",Parenting Support|Birth to 5yrs,
Parent Co-op Preschool,The Walla Walla Parent Cooperative Preschools provides parents/guardians of preschool age children with the opportunity to come together to learn parenting skills. Parents of children ages three to five years enroll in a parent education class which meets one evening per month. Parents register their child for a preschool group. Each preschool group charges tuition to cover operational costs of the group. Each parent participates in a weekly lab session with children to practice learning from parent education class,(509) 527-4237,Viridiana Cloin,,500 Tausick Way Walla Walla WA. 99362,Parent Co-op Preschool | Parent Child Center | WWCC, ,
Christian Counseling Center,"At Christian Counseling Center we genuinely care about our customers and are dedicated to serving them well. We understand their specific goals and objectives, and develop solutions that deliver optimal value on a consistent basis.",509-527-2310, ,,"212 Sw 4th St College Place, WA 993 324", , ,
Umatilla Child Support Services,"The Umatilla County Child Support Services provides information on child support and custody laws, attorneys and lawyers, child support payments, collections, filings, and applications.",(541) 276-6932,N/A,,700 SE Emigrant Ave. Pendleton OR. 97801,N/A, ,
Umatilla CARE,"The CARE Program is a support to families using a system approach available to Umatilla County. CARE was created to help at risk children with multiple issues by offering them a ""no wrong door"" approach.",541-379-3575,Jenni Galloway,,"216 SE 4th St.
Pendleton, OR 97800",http://www.co.umatilla.or.us/departments/care, ,
Umatilla Youth Investment Program,"The Umatilla County Youth Investment Program (YIP) is money that has been set aside for agencies, school districts or individual families to purchase service for YIP youth. The goal is to reduce the dropout rate, homelessness, and youth's potential for involvement with Office of Services to Children & Families and Juvenile County. This fund is available to provide services to all YIP youth residing in Umatilla county. The intent of the YIP program dollars is to enhance existing county services by creating an individual treatment approach for each YIP youth. The YIP Program will allow both schools and social service agencies to access needed services previously unavailable because of financial limitation.",(541) 278-6291,Suzie Stuvland,,216 SE 4th Pendleton OR. 97801,N/A, ,
Good Samaritan Ministries,"Good Samaritan Ministries are where people from all walks of life and every need could come and find love, acceptance and an encounter with the Kingdom of God.",(509) 529-2322,Cathy Scott,,1815 Portland Ave. Ste. 2 Walla Walla WA. 99362,About | Good Samaritan Ministries (gsmwallawalla.com), ,
Umatilla Child Support Services,"The Umatilla County Child Support Services provides information on child support and custody laws, attorneys and lawyers, child support payments, collections, filings, and applications.",(541) 276-6932,N/A,,700 SE Emigrant Ave. Pendleton OR. 97801,N/A, ,
Children's Home Society of Washington,"Children's Home Society of Washington's mission today is to develop healthy children, create strong families, build engaged communities, and speak and advocate for children.",(509) 529-2130,Alejandra Gonzalez,,"1612 Penny Ln, Walla Walla, WA 99362, United States",https://www.childrenshomesociety.org/, ,
WWCC Parent Education Programs,"WWCC Parenting Education Programs provide parenting education classes for families with children birth to five years olf, including parent-child interaction.",509-527-4237,Viridiana Cloin,,500 Tausick Way Walla Walla WA. 99362,Parenting Education | Parent Child Center | WWCC, ,
Oregon Head Start,"Umatilla Partners in Care is a group of agency people, school employees, parents and interested community members.  This group is working toward more effective and seamless services for children and adolescents in Umatilla County with complex behavioral needs. Head Start operates many programs aimed at helping children and families.",(541) 938-0255,Ruby Miller,,403 Peabody St. Milton-Freewater OR. 97862,https://www.ohsa.net/,Parenting Support|Teens,
Blue Mountain Counseling,"Blue Mountain Counseling is committed to providing treatment of the highest quality. Blue Mountain Counseling offers counseling services for Individuals, Families, and Children. We have staff that are highly trained with advanced degrees and specialized training",(509) 382-1164,Dimita Warren,,"221 E. Washington Ave. Dayton, WA. 99328","Blue Mountain Counseling – Blue Mountain Counseling, Dayton, WA (bluemtncounseling.org)", ,
Umatilla Youth Investment Program,"The Umatilla County Youth Investment Program (YIP) is money that has been set aside for agencies, school districts or individual families to purchase service for YIP youth. The goal is to reduce the dropout rate, homelessness, and youth's potential for involvement with Office of Services to Children & Families and Juvenile County. This fund is available to provide services to all YIP youth residing in Umatilla county. The intent of the YIP program dollars is to enhance existing county services by creating an individual treatment approach for each YIP youth. The YIP Program will allow both schools and social service agencies to access needed services previously unavailable because of financial limitation.",(541) 278-6291,Suzie Stuvland,,216 SE 4th Pendleton OR. 97801,N/A, ,
Catholic Charities,"Catholic Charities affirms the dignity of every person, partnering with parishes and the greater community to serve and advocate for those who are vulnerable, bringing stability and hope to people throughout eastern Washington. ",(509) 525-0572,Lisa Green,,"408 W. Poplar St. Walla Walla, WA. 99362",https://www.cceasternwa.org/walla-walla, ,
Washington Division of Children and Family Services,"As a Department, the Washington Division of Children and Family Services is tied together by a single mission: to transform lives. Each administration within DSHS has a refined focus on this mission.",(877) 501-2233,Ross Hunter,,"1371 Pine St. Walla Walla, WA. 99362",https://www.dcyf.wa.gov/services, ,
Trilogy Recovery Community,"Trilogy Recovery Community, for teens and their families, is a group dedicated to walking alongside our youth who are struggling to overcome alcohol or other drug problems while offering compassionate support to their families.",(509) 876-4525,Olivia Birchwood,,120 E. Birch St. Ste. 14 Walla Walla WA. 99362,Trilogy Recovery - Home, ,
Walla Walla Parks & Rec Programs,"The City of Walla Walla Parks & Recreation department offers various programs for our community's youth. Programs include day camps, youth fitness, youth sports camps, swimming lessons, art classes, and more!",509-527-4527,Andy Coleman,,"55 E Moore St, Walla Walla, WA, United States",Parks and Recreation | City of Walla Walla (wallawallawa.gov), ,
Camp Fire Boys & Girls,"Camp Fire Walla Walla is a community based nonprofit organization with a mission to build caring and confident youth and future leaders. We provide quality out-of-school programming that fosters growth within the children of our community. In our After School Camp and Super Summer in the Park programs, we focus on helping children to learn, grow, explore, build friendships, and have a lot of fun!",509-525-3180,Janet Adams,,"414 S Park St, Walla Walla, WA 99362",Home | Cfwallawalla (wwcampfire.org), ,
Walla Walla YMCA,"The Walla Walla YMCA is dedicated to the values of Caring, Honesty, Respect, and Responsibility and committed to building a community where all people, especially the young, are encouraged to develop their fullest potential in spirit, mind, and body.",509-525-8863,Karen Hedine,,"340 South Park Street, Walla Walla, WA 99362, United States",https://www.wwymca.org/, ,
YWCA - Fun Factory,"The Fun Factory is a mobile summer recreation program that visits neighborhoods and communities throughout the Walla Walla Valley. During the week, the Fun Factory brings free outdoor fun, crafts, games and other great activities to children ages 5-10 (ish).",(509) 525-2570,Anne-Marie Zell Schwerin,,213 S First Ave Walla Walla WA 99362,YWCA Walla Walla | YWCA Walla Walla (ywcaww.org), ,
Umatilla County 4-H Club,"4-H is a learn-by-doing program for youth, using hands-on educational projects to teach life skills to young people. The Umatilla County 4-H program reaches more than 20,000 kids in our community each year. Youth ages 5-18 participate in clubs, after-school programs, school enrichment activities, and camps.",541-278-5403,Anna Browne,,N/A,https://extension.oregonstate.edu/program/4h/umatilla/people, ,
Walla Walla Valley Disability Network,"Provides recreation and social activities for children and adults with disabilities that include Challenger Basketball, Challenger Baseball, Bowling, Elementary and Teen Summer Camp, etc. WWVDN also offers a Peer Mentor Training to middle school and high school students who would like to serve as peer mentors in the recreation programs.",509-386-2356,Cyndy Knight,,"PO Box 1918, Walla Walla, WA 99362",Walla Walla Valley Disability Network : Home (wwvdn.org),Activities for Children & Teens|Middle School,
Columbia County 4-H Club,"4-H is an informal, practical, learn-by-doing educational program for youth. In 4-H, young people learn and have fun in the process. 4-H develops skills by helping young people acquire self-discipline, confidence, the ability to set goals, and a sense of responsibility. 4-H builds citizenship by providing youth with real-world experience, by showing them the importance of volunteering, and by encouraging them to take action in their communities. 4-H promotes sportsmanship by offering the opportunity to learn about fair and ethical competition at the county, state and national levels. 4-H opens doors to the future by introducing 4-Hers to a variety of activities that can lead to careers in agriculture, business, education, family and consumer sciences, medicine, natural resources, range management, wildlife biology, and more.",509-382-4741,Donna Hanger,,"137 East Main Street, Dayton, WA, United States",4-H Youth Development Program – Columbia County | Columbia County | Washington State University (wsu.edu), ,
Walla Walla 4-H Club,"4-H is an informal, practical, learn-by-doing educational program for youth. In 4-H, young people learn and have fun in the process. 4-H develops skills by helping young people acquire self-discipline, confidence, the ability to set goals, and a sense of responsibility. 4-H builds citizenship by providing youth with real-world experience, by showing them the importance of volunteering, and by encouraging them to take action in their communities. 4-H promotes sportsmanship by offering the opportunity to learn about fair and ethical competition at the county, state and national levels. 4-H opens doors to the future by introducing 4-Hers to a variety of activities that can lead to careers in agriculture, business, education, family and consumer sciences, medicine, natural resources, range management, wildlife biology, and more.",509-524-2685,Melanie Owens,,"328 West Poplar Street, Walla Walla, WA 99362, United States",4-H Youth Development Program – Walla Walla County | Walla Walla County | Washington State University (wsu.edu), ,
Children's Home Society of Washington,"Just as a sturdy house needs certain materials, our children need many supports and opportunities to be successful in school and life. Children's Home Society of Washington helps create a solid foundation for today's children that will lead to prosperity for all of us in the future.",509-529-2130,Alejandra Gonzalez,,"1612 Penny Ln, Walla Walla, WA 99362, United States",https://www.childrenshomesociety.org/wallawalla/, ,
Umatilla Youth Investment Program,"The Umatilla County Youth Investment Program (YIP) is money that has been set aside for agencies, school districts or individual families to purchase service for YIP youth. The goal is to reduce the dropout rate, homelessness, and youth's potential for involvement with Office of Services to Children & Families and Juvenile County. This fund is available to provide services to all YIP youth residing in Umatilla county. The intent of the YIP program dollars is to enhance existing county services by creating an individual treatment approach for each YIP youth. The YIP Program will allow both schools and social service agencies to access needed services previously unavailable because of financial limitation.",(541) 278-6291,Suzie Stuvland,,216 SE 4th Pendleton OR. 97801,N/A, ,
Blue Mountain Counseling,"Blue Mountain Counseling is committed to providing treatment of the highest quality. Blue Mountain Counseling offers counseling services for Individuals, Families, and Children. We have staff that are highly trained with advanced degrees and specialized training",(509) 382-1164,Dimita Warren,,"221 E. Washington Ave. Dayton, WA. 99328","Blue Mountain Counseling – Blue Mountain Counseling, Dayton, WA (bluemtncounseling.org)", ,
Children's Home Society of Washington,"Children's Home Society of Washington's mission today is to develop healthy children, create strong families, build engaged communities, and speak and advocate for children.",(509) 529-2130,Alejandra Gonzalez,,"1612 Penny Ln, Walla Walla, WA 99362, United States",https://www.childrenshomesociety.org/wallawalla/, ,
Washington Division of Children and Family Services,"As a Department, the Washington Division of Children and Family Services is tied together by a single mission: to transform lives. Each administration within DSHS has a refined focus on this mission.",(877) 501-2233,Ross Hunter,,"1371 Pine St. Walla Walla, WA. 99362",https://www.dcyf.wa.gov/services, ,
Walla Walla Valley Early Learning Coalition,The Walla Walla Valley Early Learning Coalition's mission is to mobilize the community to support parents as their childrenâ€™s first teacher and improve access to high-quality early learning opportunities for all young children in the Walla Walla Valley., N/A,Eiledon McClellan,,500 Tausick Way Walla Walla WA. 99362,https://earlylearningwallawalla.org/, ,
Umatilla Child Support Services,"The Umatilla County Child Support Services provides information on child support and custody laws, attorneys and lawyers, child support payments, collections, filings, and applications.",(541) 276-6932,N/A,,700 SE Emigrant Ave. Pendleton OR. 97801,N/A,Parenting Support|6yrs to 12yrs,
